item_id,policy,correct,original_evidence_correct,original_joint_correct,repaired_evidence_correct,repaired_joint_correct,detector_covered,used_stale_fact,original_evidence_ids,repaired_evidence_ids,gold_evidence_ids
user_preference_001_repeated_current_d90,full_cache,False,False,False,True,False,True,True,b001_adv_stale,b001_adv_current_dup03,b001_adv_current_dup03
user_preference_001_repeated_current_d90,drop_stale_prompt,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02|b001_adv_current_dup03,b001_adv_current_dup03,b001_adv_current_dup03
user_preference_001_repeated_current_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02|b001_adv_current_dup03,b001_adv_current_dup03,b001_adv_current_dup03
user_preference_001_singleton_stale_late_d90,full_cache,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_singleton_stale_late_d90,drop_stale_prompt,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_singleton_stale_late_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_both_values_repeated_d90,full_cache,False,False,False,True,False,True,True,b001_adv_stale_dup01|b001_adv_stale_dup02,b001_adv_current_dup02,b001_adv_current_dup02
user_preference_001_both_values_repeated_d90,drop_stale_prompt,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02,b001_adv_current_dup02,b001_adv_current_dup02
user_preference_001_both_values_repeated_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02,b001_adv_current_dup02,b001_adv_current_dup02
user_preference_001_paraphrased_stale_duplicates_d90,full_cache,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_paraphrased_stale_duplicates_d90,drop_stale_prompt,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_paraphrased_stale_duplicates_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_repeated_current_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02|b001_adv_current_dup03,b001_adv_current_dup03,b001_adv_current_dup03
user_preference_001_repeated_current_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02|b001_adv_current_dup03,b001_adv_current_dup03,b001_adv_current_dup03
user_preference_001_singleton_stale_late_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_singleton_stale_late_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_both_values_repeated_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02,b001_adv_current_dup02,b001_adv_current_dup02
user_preference_001_both_values_repeated_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b001_adv_current_dup01|b001_adv_current_dup02,b001_adv_current_dup02,b001_adv_current_dup02
user_preference_001_paraphrased_stale_duplicates_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_001_paraphrased_stale_duplicates_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b001_adv_current,b001_adv_current,b001_adv_current
user_preference_002_repeated_current_d90,full_cache,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02|b002_adv_current_dup03,b002_adv_current_dup03,b002_adv_current_dup03
user_preference_002_repeated_current_d90,drop_stale_prompt,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02|b002_adv_current_dup03,b002_adv_current_dup03,b002_adv_current_dup03
user_preference_002_repeated_current_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02|b002_adv_current_dup03,b002_adv_current_dup03,b002_adv_current_dup03
user_preference_002_repeated_current_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02|b002_adv_current_dup03,b002_adv_current_dup03,b002_adv_current_dup03
user_preference_002_repeated_current_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02|b002_adv_current_dup03,b002_adv_current_dup03,b002_adv_current_dup03
user_preference_002_singleton_stale_late_d90,full_cache,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_singleton_stale_late_d90,drop_stale_prompt,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_singleton_stale_late_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_singleton_stale_late_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_singleton_stale_late_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_both_values_repeated_d90,full_cache,False,False,False,True,False,True,True,b002_adv_stale_dup01|b002_adv_stale_dup02,b002_adv_current_dup02,b002_adv_current_dup02
user_preference_002_both_values_repeated_d90,drop_stale_prompt,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02,b002_adv_current_dup02,b002_adv_current_dup02
user_preference_002_both_values_repeated_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02,b002_adv_current_dup02,b002_adv_current_dup02
user_preference_002_both_values_repeated_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02,b002_adv_current_dup02,b002_adv_current_dup02
user_preference_002_both_values_repeated_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current_dup01|b002_adv_current_dup02,b002_adv_current_dup02,b002_adv_current_dup02
user_preference_002_paraphrased_stale_duplicates_d90,full_cache,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_paraphrased_stale_duplicates_d90,drop_stale_prompt,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_paraphrased_stale_duplicates_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_paraphrased_stale_duplicates_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
user_preference_002_paraphrased_stale_duplicates_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b002_adv_current,b002_adv_current,b002_adv_current
policy_approval_006_repeated_current_d90,full_cache,True,True,True,True,True,True,False,b006_adv_current_dup01|b006_adv_current_dup02|b006_adv_current_dup03,b006_adv_current_dup03,b006_adv_current_dup03
policy_approval_006_repeated_current_d90,drop_stale_prompt,True,True,True,True,True,True,False,b006_adv_current_dup01|b006_adv_current_dup02|b006_adv_current_dup03,b006_adv_current_dup03,b006_adv_current_dup03
policy_approval_006_repeated_current_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b006_adv_current_dup01|b006_adv_current_dup02|b006_adv_current_dup03,b006_adv_current_dup03,b006_adv_current_dup03
policy_approval_006_repeated_current_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b006_adv_current_dup01|b006_adv_current_dup02|b006_adv_current_dup03,b006_adv_current_dup03,b006_adv_current_dup03
policy_approval_006_repeated_current_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b006_adv_current_dup01|b006_adv_current_dup02|b006_adv_current_dup03,b006_adv_current_dup03,b006_adv_current_dup03
policy_approval_006_singleton_stale_late_d90,full_cache,True,False,False,True,True,True,True,b006_adv_stale,b006_adv_current,b006_adv_current
policy_approval_006_singleton_stale_late_d90,drop_stale_prompt,True,True,True,True,True,True,False,b006_adv_current,b006_adv_current,b006_adv_current
policy_approval_006_singleton_stale_late_d90,zero_lineage_conflict_values_layers_8_23,True,False,False,True,True,True,True,b006_adv_current|b006_adv_stale,b006_adv_current,b006_adv_current
policy_approval_006_singleton_stale_late_d90,zero_lineage_conflict_keys_layers_8_23,True,False,False,True,True,True,True,b006_adv_current|b006_adv_stale,b006_adv_current,b006_adv_current
policy_approval_006_singleton_stale_late_d90,zero_lineage_conflict_keys_values_layers_8_23,True,False,False,True,True,True,True,b006_adv_current|b006_adv_stale,b006_adv_current,b006_adv_current
policy_approval_006_both_values_repeated_d90,full_cache,True,False,False,True,True,True,True,b006_adv_stale_dup01|b006_adv_stale_dup02,b006_adv_current_dup02,b006_adv_current_dup02
policy_approval_006_both_values_repeated_d90,drop_stale_prompt,True,True,True,True,True,True,False,b006_adv_current_dup01|b006_adv_current_dup02,b006_adv_current_dup02,b006_adv_current_dup02
policy_approval_006_both_values_repeated_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b006_adv_current_dup01|b006_adv_current_dup02,b006_adv_current_dup02,b006_adv_current_dup02
policy_approval_006_both_values_repeated_d90,zero_lineage_conflict_keys_layers_8_23,True,False,False,True,True,True,True,b006_adv_current_dup01|b006_adv_current_dup02|b006_adv_stale_dup02,b006_adv_current_dup02,b006_adv_current_dup02
policy_approval_006_both_values_repeated_d90,zero_lineage_conflict_keys_values_layers_8_23,True,False,False,True,True,True,True,b006_adv_current_dup01|b006_adv_current_dup02|b006_adv_stale_dup02,b006_adv_current_dup02,b006_adv_current_dup02
policy_approval_006_paraphrased_stale_duplicates_d90,full_cache,True,True,True,True,True,True,False,b006_adv_current,b006_adv_current,b006_adv_current
policy_approval_006_paraphrased_stale_duplicates_d90,drop_stale_prompt,True,True,True,True,True,True,False,b006_adv_current,b006_adv_current,b006_adv_current
policy_approval_006_paraphrased_stale_duplicates_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b006_adv_current,b006_adv_current,b006_adv_current
policy_approval_006_paraphrased_stale_duplicates_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b006_adv_current,b006_adv_current,b006_adv_current
policy_approval_006_paraphrased_stale_duplicates_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b006_adv_current,b006_adv_current,b006_adv_current
crm_followup_011_repeated_current_d90,full_cache,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02|b011_adv_current_dup03,b011_adv_current_dup03,b011_adv_current_dup03
crm_followup_011_repeated_current_d90,drop_stale_prompt,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02|b011_adv_current_dup03,b011_adv_current_dup03,b011_adv_current_dup03
crm_followup_011_repeated_current_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02|b011_adv_current_dup03,b011_adv_current_dup03,b011_adv_current_dup03
crm_followup_011_repeated_current_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02|b011_adv_current_dup03,b011_adv_current_dup03,b011_adv_current_dup03
crm_followup_011_repeated_current_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02|b011_adv_current_dup03,b011_adv_current_dup03,b011_adv_current_dup03
crm_followup_011_singleton_stale_late_d90,full_cache,True,True,True,True,True,True,False,b011_adv_current,b011_adv_current,b011_adv_current
crm_followup_011_singleton_stale_late_d90,drop_stale_prompt,True,True,True,True,True,True,False,b011_adv_current,b011_adv_current,b011_adv_current
crm_followup_011_singleton_stale_late_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b011_adv_current,b011_adv_current,b011_adv_current
crm_followup_011_singleton_stale_late_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b011_adv_current,b011_adv_current,b011_adv_current
crm_followup_011_singleton_stale_late_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b011_adv_current,b011_adv_current,b011_adv_current
crm_followup_011_both_values_repeated_d90,full_cache,False,False,False,True,False,True,True,b011_adv_stale_dup01|b011_adv_stale_dup02,b011_adv_current_dup02,b011_adv_current_dup02
crm_followup_011_both_values_repeated_d90,drop_stale_prompt,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02,b011_adv_current_dup02,b011_adv_current_dup02
crm_followup_011_both_values_repeated_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02,b011_adv_current_dup02,b011_adv_current_dup02
crm_followup_011_both_values_repeated_d90,zero_lineage_conflict_keys_layers_8_23,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02,b011_adv_current_dup02,b011_adv_current_dup02
crm_followup_011_both_values_repeated_d90,zero_lineage_conflict_keys_values_layers_8_23,True,True,True,True,True,True,False,b011_adv_current_dup01|b011_adv_current_dup02,b011_adv_current_dup02,b011_adv_current_dup02
crm_followup_011_paraphrased_stale_duplicates_d90,full_cache,False,False,False,True,False,True,True,b011_adv_stale_para03,b011_adv_current,b011_adv_current
crm_followup_011_paraphrased_stale_duplicates_d90,drop_stale_prompt,True,True,True,True,True,True,False,b011_adv_current,b011_adv_current,b011_adv_current
crm_followup_011_paraphrased_stale_duplicates_d90,zero_lineage_conflict_values_layers_8_23,True,True,True,True,True,True,False,b011_adv_current,b011_adv_current,b011_adv_current
